Name,symbol,address,owner,decimals,coingecko,logo
pNetwork,PNT,https://etherscan.io/address/0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,0x56db816b3456edfa6edbc65f00ba45296fe136f2,18,https://www.coingecko.com/en/coins/pnetwork,https://ethplorer.io/images/pnt.png
STP Network,STPT,https://etherscan.io/address/0xde7d85157d9714eadf595045cc12ca4a5f3e2adb,0x,18,https://www.coingecko.com/en/coins/stp-network,https://ethplorer.io/images/STPTde7d8515.png
Dock,DOCK,https://etherscan.io/address/0xe5dada80aa6477e85d09747f2842f7993d0df71c,0x65a56d460aa2e1b741acb6ff89d213c89931bbd3,18,https://www.coingecko.com/en/coins/dock,https://ethplorer.io/images/DOCKe5dada80.png
DXDao,DXD,https://etherscan.io/address/0xa1d65e8fb6e87b60feccbc582f7f97804b725521,0x,18,https://www.coingecko.com/en/coins/dxdao,https://ethplorer.io/images/DXDa1d65e8f.png
Pundi X,NPXS,https://etherscan.io/address/0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x28744a3ce59a1a2f7fa17e22a3955ba61558356f,18,https://www.coingecko.com/en/coins/pundi-x,https://ethplorer.io/images/NPXSa15c7ebe.png
Unibright,UBT,https://etherscan.io/address/0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x,8,https://www.coingecko.com/en/coins/unibright,https://ethplorer.io/images/unibright-logo.svg
Raiden Network Token,RDN,https://etherscan.io/address/0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x,18,https://www.coingecko.com/en/coins/raiden-network,https://ethplorer.io/images/RDN255aa6df.jpg
Polymath Network,POLY,https://etherscan.io/address/0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,0x,18,https://www.coingecko.com/en/coins/polymath-network,https://ethplorer.io/images/polymath.png
Cream,CREAM,https://etherscan.io/address/0x2ba592f78db6436527729929aaf6c908497cb200,0x,18,https://www.coingecko.com/en/coins/cream-2,https://ethplorer.io/images/CREAM2ba592f7.png
Jarvis Reward Token,JRT,https://etherscan.io/address/0x8a9c67fee641579deba04928c4bc45f66e26343a,0x,18,https://www.coingecko.com/en/coins/jarvis-reward-token,https://ethplorer.io/images/JRT8a9c67fe.png
Cartesi,CTSI,https://etherscan.io/address/0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0x,18,https://www.coingecko.com/en/coins/cartesi,https://ethplorer.io/images/CTSI491604c0.png
Perlin,PERL,https://etherscan.io/address/0xeca82185adce47f39c684352b0439f030f860318,0x,18,https://www.coingecko.com/en/coins/perlin,https://ethplorer.io/images/PERLeca82185.png
Mainframe,MFT,https://etherscan.io/address/0xdf2c7238198ad8b389666574f2d8bc411a4b7428,0x2a9de83da2cae0bffabfe088c9c0982c15d1a64d,18,https://www.coingecko.com/en/coins/mainframe,https://ethplorer.io/images/MFTdf2c7238.png
Aragon Court,ANJ,https://etherscan.io/address/0xcd62b1c403fa761baadfc74c525ce2b51780b184,0x,18,https://www.coingecko.com/en/coins/anj,https://ethplorer.io/images/ANJcd62b1c4.png
COCOS BCX,COCOS,https://etherscan.io/address/0x0c6f5f7d555e7518f6841a79436bd2b1eef03381,0x2c3febbd385467da7fedb88ca6dbfa317dc492f7,18,https://www.coingecko.com/en/coins/cocos-bcx,https://ethplorer.io/images/COCOS0c6f5f7d.jpg
dHedge DAO Token,DHT,https://etherscan.io/address/0xca1207647ff814039530d7d35df0e1dd2e91fa84,0x,18,https://www.coingecko.com/en/coins/dhedge-dao,https://ethplorer.io
Zap,ZAP,https://etherscan.io/address/0x6781a0f84c7e9e846dcb84a9a5bd49333067b104,0x0840d6a9093c7abb613a0969a3251cf5cd051c09,18,https://www.coingecko.com/en/coins/zap,https://ethplorer.io/images/ZAP6781a0f8.png
UniLayer,LAYER,https://etherscan.io/address/0x0ff6ffcfda92c53f615a4a75d982f399c989366b,0x,18,https://www.coingecko.com/en/coins/unilayer,https://ethplorer.io/images/LAYER0ff6ffcf.jpg
Morpheus Labs,MITX,https://etherscan.io/address/0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,0x06baaacab2773e4f949e27b32c10588596d8915d,18,https://www.coingecko.com/en/coins/morpheus-labs,https://ethplorer.io/images/MITX4a527d8f.png
Perpetual Protocol,PERP,https://etherscan.io/address/0xbc396689893d065f41bc2c6ecbee5e0085233447,0x829e396fca2b8c3c46c9c9ad997ddd85e910b30a,18,https://www.coingecko.com/en/coins/perpetual-protocol,https://ethplorer.io/images/PERPbc396689.jpg
Sentinel Protocol,UPP,https://etherscan.io/address/0xc86d054809623432210c107af2e3f619dcfbf652,0x0083ca7814bacc8a45e7cac68b34d50077b246e2,18,https://www.coingecko.com/en/coins/sentinel-protocol,https://ethplorer.io/images/UPPc86d0548.jpg
HedgeTrade,HEDG,https://etherscan.io/address/0xf1290473e210b2108a85237fbcd7b6eb42cc654f,0x4152d53e52d3fa77c17a08eb0b7496f2759d369d,18,https://www.coingecko.com/en/coins/hedgetrade,https://ethplorer.io/images/HEDGf1290473.jpg
Gnosis,GNO,https://etherscan.io/address/0x6810e776880c02933d47db1b9fc05908e5386b96,0x,18,https://www.coingecko.com/en/coins/gnosis,https://ethplorer.io/images/GNO6810e776.png
Darwinia Commitment Token,KTON,https://etherscan.io/address/0x9f284e1337a815fe77d2ff4ae46544645b20c5ff,0x4710573b853fdd3561cb4f60ec9394f0155d5105,18,https://www.coingecko.com/en/coins/darwinia-commitment-token,https://ethplorer.io/images/KTON9f284e13.png
Orbs,ORBS,https://etherscan.io/address/0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,0xcae24d45363dcb03f19f44c5b6ed48e431fafe63,18,https://www.coingecko.com/en/coins/orbs,https://ethplorer.io/images/orbs.png
WHALE,WHALE,https://etherscan.io/address/0x9355372396e3f6daf13359b7b607a3374cc638e0,0x,4,https://www.coingecko.com/en/coins/whale,https://ethplorer.io/images/WHALE93553723.png
Hedget,HGET,https://etherscan.io/address/0x7968bc6a03017ea2de509aaa816f163db0f35148,0x,6,https://www.coingecko.com/en/coins/hedget,https://ethplorer.io/images/HGET7968bc6a.png
BnkToTheFuture,BFT,https://etherscan.io/address/0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,0x48599941665827f9ea5a16c3d7417a43a1ce5df4,18,https://www.coingecko.com/en/coins/bnktothefuture,https://ethplorer.io/images/BFT01ff50f8.png
Livepeer,LPT,https://etherscan.io/address/0x58b6a8a3302369daec383334672404ee733ab239,0x505f8c2ee81f1c6fa0d88e918ef0491222e05818,18,https://www.coingecko.com/en/coins/livepeer,https://ethplorer.io/images/LPT58b6a8a3.png
Robonomics Network,XRT,https://etherscan.io/address/0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x,9,https://www.coingecko.com/en/coins/robonomics-network,https://ethplorer.io/images/XRT7de91b20.png
Pickle Finance,PICKLE,https://etherscan.io/address/0x429881672b9ae42b8eba0e26cd9c73711b891ca5,0xbd17b1ce622d73bd438b9e658aca5996dc394b0d,18,https://www.coingecko.com/en/coins/pickle-finance,https://ethplorer.io/images/PICKLE42988167.jpg
Viberate,VIB,https://etherscan.io/address/0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,0xeaa4137505e6defbdf987e7895b5d02b45e2e7d1,,https://www.coingecko.com/en/coins/viberate,https://ethplorer.io/images/VIB2c974b2d.png
Morpheus Network,MRPH,https://etherscan.io/address/0x7b0c06043468469967dba22d1af33d77d44056c8,0x,4,https://www.coingecko.com/en/coins/morpheus-network,https://ethplorer.io/images/MRPH7b0c0604.png
Ultra,UOS,https://etherscan.io/address/0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,0x55773da888329328efea933efa641db85e7aa41a,4,https://www.coingecko.com/en/coins/ultra,https://ethplorer.io/images/UOSd13c7342.png
Anchor Neural World Token,ANW,https://etherscan.io/address/0x7dbdd9dafdc4c1c03d67925a4f85daa398af32b0,0x,18,https://www.coingecko.com/en/coins/anchor-neural-world-token,https://ethplorer.io/images/ANW7dbdd9da.png
Parachute,PAR,https://etherscan.io/address/0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,0x496e0fb39d646a4be80e85844d355d38f7570417,18,https://www.coingecko.com/en/coins/parachute,https://ethplorer.io/images/PAR1beef319.png
FunFair,FUN,https://etherscan.io/address/0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0xb2e4f9c3ca031894a96197de724f05786a00dbf1,8,https://www.coingecko.com/en/coins/funfair,https://ethplorer.io/images/funfair.png
Decentr,DEC,https://etherscan.io/address/0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0x,18,https://www.coingecko.com/en/coins/decentr,https://ethplorer.io/images/DEC30f271c9.png
Metronome,MET,https://etherscan.io/address/0xa3d58c4e56fedcae3a7c43a725aee9a71f0ece4e,0x98579428140acad902f30ea2731a49396cb0284f,18,https://www.coingecko.com/en/coins/metronome,https://ethplorer.io/images/METa3d58c4e.png
Offshift,XFT,https://etherscan.io/address/0xabe580e7ee158da464b51ee1a83ac0289622e6be,0x7f3b46e1e7d0e60fe496c41e8f0d21d7e962d37d,18,https://www.coingecko.com/en/coins/offshift,https://ethplorer.io/images/XFTabe580e7.png
Rocket Pool,RPL,https://etherscan.io/address/0xb4efd85c19999d84251304bda99e90b92300bd93,0xffbffe2a8926cc1dd4ff307961e99e9a2586a698,,https://www.coingecko.com/en/coins/rocket-pool,https://ethplorer.io/images/RPLb4efd85c.png
Keep Network,KEEP,https://etherscan.io/address/0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,0x,18,https://www.coingecko.com/en/coins/keep-network,https://ethplorer.io/images/KEEP85eee30c.jpg
4thpillar technologies,FOUR,https://etherscan.io/address/0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0,0x4ec155995211c8639375ae3106187bff3ff5db46,18,https://www.coingecko.com/en/coins/the-4th-pillar,https://ethplorer.io/images/FOUR4730fb14.png
Hegic,HEGIC,https://etherscan.io/address/0x584bc13c7d411c00c01a62e8019472de68768430,0x,18,https://www.coingecko.com/en/coins/hegic,https://ethplorer.io/images/HEGIC584bc13c.png
Sentivate,SNTVT,https://etherscan.io/address/0x7865af71cf0b288b4e7f654f4f7851eb46a2b7f8,0x2f3a5962357058e89fd6c86890d3d0b22b8983b1,18,https://www.coingecko.com/en/coins/sentivate,https://ethplorer.io/images/SNTVT7865af71.png
Render Token,RNDR,https://etherscan.io/address/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,0xde68d53200577005cb716aaff0523b11a62084e8,18,https://www.coingecko.com/en/coins/render-token,https://ethplorer.io/images/RNDR6de037ef.jpg
Nectar Token,NEC,https://etherscan.io/address/0xcc80c051057b774cd75067dc48f8987c4eb97a5e,0x,18,https://www.coingecko.com/en/coins/nectar-token,https://ethplorer.io/images/nectar.png
Flexacoin,FXC,https://etherscan.io/address/0x4a57e687b9126435a9b19e4a802113e266adebde,0xb3972060177594f9bd6edbcc005ca28fe5e091fd,18,https://www.coingecko.com/en/coins/flexacoin,https://ethplorer.io/images/FXC4a57e687.png
Tierion,TNT,https://etherscan.io/address/0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x5e9c071070343395106991556d3eb0651edff8cf,8,https://www.coingecko.com/en/coins/tierion,https://ethplorer.io/images/TNT08f5a923.png
DeFiat,DFT,https://etherscan.io/address/0xb6ee603933e024d8d53dde3faa0bf98fe2a3d6f1,0x,18,https://www.coingecko.com/en/coins/defiat,https://ethplorer.io/images/DFTb6ee6039.jpg
Sentinel,SENT,https://etherscan.io/address/0xa44e5137293e855b1b7bc7e2c6f8cd796ffcb037,0xc02129e449cb1a99ab873edaf5e24ace45062a95,8,https://www.coingecko.com/en/coins/sentinel-group,https://ethplorer.io/images/SENTa44e5137.png
